sec,nanosec,odom_x,odom_y,lidar_x,lidar_y,kf_x,kf_y,opti_tb2_x,opti_tb2_y,opti_tb1_x,opti_tb1_y
1772619199,98848399,0.4008458890419079,-0.05828181757732857,0.448766462717382,-0.3768805363293979,0.463400732731776,-0.16321040847635998,0.43050283193588257,-0.033400021493434906,-0.08031544089317322,-0.09012706577777863
1772619199,148871397,0.4008458890419079,-0.05828181757732857,0.4684044675645515,-0.3586078842796235,0.46346464368401924,-0.16570615198832733,0.4306042194366455,-0.033347584307193756,-0.07966853678226471,-0.0906064361333847
1772619199,198718942,0.4008458890419079,-0.05828181757732857,0.4684044675645515,-0.3586078842796235,0.46346464368401924,-0.16570615198832733,0.43055200576782227,-0.033360544592142105,-0.07973216474056244,-0.0909079983830452
1772619199,248852669,0.4008458890419079,-0.05828181757732857,0.4684044675645515,-0.3586078842796235,0.46346464368401924,-0.16570615198832733,0.43046998977661133,-0.033428143709897995,-0.08014695346355438,-0.09088139981031418
1772619199,298927327,0.4008458890419079,-0.05828181757732857,0.4684044675645515,-0.3586078842796235,0.46346464368401924,-0.16570615198832733,0.43048927187919617,-0.03340841084718704,-0.07987181842327118,-0.09033623337745667
1772619199,348856414,0.4008458890419079,-0.05828181757732857,0.4810477231270845,-0.342323715706814,0.4636877651429092,-0.16794735032961136,0.4305981993675232,-0.03335503488779068,-0.08030420541763306,-0.08939772099256516
1772619199,398794433,0.4008458890419079,-0.05828181757732857,0.4810477231270845,-0.342323715706814,0.4636877651429092,-0.16794735032961136,0.4305407404899597,-0.03336138650774956,-0.07659660279750824,-0.0867851972579956
1772619199,448965758,0.4008458890419079,-0.05828181757732857,0.4810477231270845,-0.342323715706814,0.4636877651429092,-0.16794735032961136,0.4304729402065277,-0.033426083624362946,-0.08014797419309616,-0.08960255980491638
1772619199,498809631,0.4008458890419079,-0.05828181757732857,0.4810477231270845,-0.342323715706814,0.4636877651429092,-0.16794735032961136,0.4304887056350708,-0.03340792655944824,-0.0766027420759201,-0.08662423491477966
1772619199,548832927,0.4008458890419079,-0.05828181757732857,0.4811228983749214,-0.32433439257519436,0.46390759688721656,-0.1699191641280162,0.43047505617141724,-0.03339088708162308,-0.08112332969903946,-0.08942868560552597
1772619199,598864484,0.4008458890419079,-0.05828181757732857,0.4811228983749214,-0.32433439257519436,0.46390759688721656,-0.1699191641280162,0.43046969175338745,-0.033399831503629684,-0.07663767039775848,-0.08657797425985336
1772619199,648837730,0.4008458890419079,-0.05828181757732857,0.4811228983749214,-0.32433439257519436,0.46390759688721656,-0.1699191641280162,0.4304668605327606,-0.03341012820601463,-0.08060567080974579,-0.08906832337379456
1772619199,698828185,0.4008458890419079,-0.05828181757732857,0.4811228983749214,-0.32433439257519436,0.46390759688721656,-0.1699191641280162,0.43048766255378723,-0.033423129469156265,-0.0766105130314827,-0.0865601897239685
1772619199,748862958,0.4008458890419079,-0.05828181757732857,0.49103575961586454,-0.3248282762710119,0.46424750103820916,-0.17186010833314574,0.43046829104423523,-0.03338978439569473,-0.08122889697551727,-0.08955885469913483
1772619199,798851140,0.4008458890419079,-0.05828181757732857,0.49103575961586454,-0.3248282762710119,0.46424750103820916,-0.17186010833314574,0.4305543601512909,-0.03334920108318329,-0.0766335278749466,-0.08658657968044281
1772619199,848796311,0.4008458890419079,-0.05828181757732857,0.49103575961586454,-0.3248282762710119,0.46424750103820916,-0.17186010833314574,0.4304661750793457,-0.033445313572883606,-0.08048521727323532,-0.08916247636079788
